State_ID,Visit_Count
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 0.0, 0.0, 0.0, 0.0, 2084.048)",10
"(0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2084.048, 1434.194, 641.854, 2536.679, 0.0, 0.0, 0.0, 0.0, 2084.048)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 1.0, 0.0, 1434.194, 641.854, 2536.679, 0.0, 0.0, 0.0, 0.0, 2084.048)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 1.0, 0.0, 1434.194, 641.854, 2536.679, 0.0, 0.0, 0.0, 0.0, 1389.365)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1434.194, 641.854, 2536.679, 0.0, 0.0, 0.0, 0.0, 694.683)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1434.194, 641.854, 2536.679, 0.0, 0.0, 0.0, 0.0, 0.0)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1434.194, 641.854, 2536.679, 262.153, 0.0, 0.0, 0.0, 0.0)",30
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1434.194, 641.854, 2536.679, 314.33, 0.0, 0.0, 0.0, 0.0)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 1118.362, 791.485, 324.877, 1686.034, 1055.706, 0.0, 0.0, -1.0, 1118.362)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 1118.362, 791.485, 324.877, 1686.034, 1005.222, 0.0, 0.0, 0.0, 1118.362)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1118.362, 791.485, 324.877, 1686.034, 814.772, 0.0, 0.0, 0.0, 1118.362)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 1118.362, 791.485, 324.877, 1686.034, 1422.093, 0.0, 0.0, 1.0, 1118.362)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 1118.362, 791.485, 324.877, 1686.034, 1631.35, 0.0, 0.0, -1.0, 1118.362)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 1118.362, 791.485, 324.877, 1686.034, 2041.788, 0.0, 0.0, 1.0, 1118.362)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 1118.362, 791.485, 324.877, 1686.034, 1226.557, 0.0, 0.0, 0.0, 1118.362)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1118.362, 791.485, 324.877, 1686.034, 694.997, 0.0, 0.0, 0.0, 1118.362)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1118.362, 791.485, 324.877, 1686.034, 624.149, 0.0, 0.0, 0.0, 1118.362)",10
